"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Walmart","WMT","648125000000","59.53","United States"
"2","Amazon","AMZN","574785000000","174.63","United States"
"3","Saudi Aramco","2222.SR","495345561932","7.98","Saudi Arabia"
"4","Sinopec","600028.SS","473538767624","0.92","China"
"5","Berkshire Hathaway","BRK-B","439337000000","405.08","United States"
"6","PetroChina","601857.SS","424783133772","1.51","China"
"7","Apple","AAPL","385706000000","165","United States"
"8","UnitedHealth","UNH","371622000000","501.13","United States"
"9","CVS Health","CVS","357776000000","69.75","United States"
"10","Volkswagen","VOW3.DE","349787108889","129.16","Germany"
